State,StateAbbrev,FoodHardshipRate,ObesityRate
Alabama,AL,23.4,32
Alaska,AK,18.2,27.4
Arizona,AZ,20.5,24.7
Arkansas,AR,21.1,30.9
California,CA,19.3,23.8
Colorado,CO,16,20.7
Connecticut,CT,14,24.5
Delaware,DE,21,28.8
DistrictofColumbia,DC,16.3,23.7
Florida,FL,21.6,26.6
Georgia,GA,21.7,28
Hawaii,HI,11.8,21.8
Idaho,ID,18.9,27
Illinois,IL,17.5,27.1
Indiana,IN,20.3,30.8
Iowa,IA,15.5,29
Kansas,KS,14.9,29.6
Kentucky,KY,22.3,30.4
Louisiana,LA,21.3,33.4
Maine,ME,16.7,27.8
Maryland,MD,16.3,28.3
Massachusetts,MA,14.5,22.7
Michigan,MI,18.1,31.3
Minnesota,MN,12.6,25.7
Mississippi,MS,24.5,34.9
Missouri,MO,19.5,30.3
Montana,MT,15.4,24.6
Nebraska,NE,14.4,28.4
Nevada,NV,20,24.5
NewHampshire,NH,15.2,26.2
NewJersey,NJ,15.8,23.7
NewMexico,NM,18.1,26.3
NewYork,NY,17.6,24.5
NorthCarolina,NC,21.1,29.1
NorthDakota,ND,10,27.8
Ohio,OH,19.8,29.6
Oklahoma,OK,21.3,31.1
Oregon,OR,18,26.7
Pennsylvania,PA,15,28.6
RhodeIsland,RI,18.1,25.4
SouthCarolina,SC,21.9,30.8
SouthDakota,SD,15.2,28.1
Tennessee,TN,21.7,29.2
Texas,TX,21.6,30.4
Utah,UT,17.7,24.4
Vermont,VT,16,25.4
Virginia,VA,16.6,29.2
Washington,WA,16.4,26.5
WestVirginia,WV,22.5,32.4
Wisconsin,WI,13.7,27.7
Wyoming,WY,14.7,25
