StateName,State,AdultCigaretteUse,YouthCigaretteUse,TaxCentsPerPack
Alaska,AK,20.6,15.7,200
Alabama,AL,22.5,20.8,42.5
Arkansas,AR,21.5,20.3,115
Arizona,AZ,16.1,19.7,200
California,CA,12.9,NA,87
Colorado,CO,17.1,17.7,84
Connecticut,CT,15.4,17.8,300
DistrictofColumbia,DC,15.3,NA,250
Delaware,DE,18.3,19,160
Florida,FL,17.1,16.1,133.9
Georgia,GA,17.7,16.9,37
Hawaii,HI,15.4,15.2,260
Iowa,IA,17.2,NA,136
Idaho,ID,16.3,14.5,57
Illinois,IL,18.6,18.1,98
Indiana,IN,23.1,23.5,99.5
Kansas,KS,17.8,16.9,79
Kentucky,KY,25.6,26.1,60
Louisiana,LA,22.1,17.6,36
Massachusetts,MA,15,16,251
Maryland,MD,15.2,11.9,200
Maine,ME,17.3,18.1,200
Michigan,MI,19.6,18.8,200
Minnesota,MN,16.8,NA,156
Missouri,MO,23.1,18.9,17
Mississippi,MS,23.3,19.6,68
Montana,MT,16.8,18.7,170
NorthCarolina,NC,20.3,17.7,45
NorthDakota,ND,18.6,22.4,44
Nebraska,NE,16.7,NA,64
NewHampshire,NH,15.8,20.8,178
NewJersey,NJ,15.8,17,270
NewMexico,NM,17.9,24,91
Nevada,NV,22,17,80
NewYork,NY,18,14.8,275
Ohio,OH,20.3,NA,125
Oklahoma,OK,25.5,22.6,103
Oregon,OR,17.9,NA,118
Pennsylvania,PA,20.2,18.4,160
RhodeIsland,RI,15.1,13.3,346
SouthCarolina,SC,20.4,20.5,7
SouthDakota,SD,17.5,23.2,153
Tennessee,TN,22,20.9,62
Texas,TX,17.9,21.2,141
Utah,UT,9.8,8.5,69.5
Virginia,VA,19,NA,30
Vermont,VT,17.1,17.6,224
Washington,WA,14.9,NA,302.5
Wisconsin,WI,18.8,16.9,252
WestVirginia,WV,25.6,21.8,55
Wyoming,WY,19.9,22.1,60
