"df","Alpha10","Alpha05","Alpha025","Alpha01","Alpha005","Alpha0005"
1,3.078,6.314,12.706,31.821,63.657,636.619
2,1.886,2.92,4.303,6.965,9.925,31.599
3,1.638,2.353,3.182,4.541,5.841,12.924
4,1.533,2.132,2.776,3.747,4.604,8.61
5,1.476,2.015,2.571,3.365,4.032,6.869
6,1.44,1.943,2.447,3.143,3.707,5.959
7,1.415,1.895,2.365,2.998,3.499,5.408
8,1.397,1.86,2.306,2.896,3.355,5.041
9,1.383,1.833,2.262,2.821,3.25,4.781
10,1.372,1.812,2.228,2.764,3.169,4.587
11,1.363,1.796,2.201,2.718,3.106,4.437
12,1.356,1.782,2.179,2.681,3.055,4.318
13,1.35,1.771,2.16,2.65,3.012,4.221
14,1.345,1.761,2.145,2.624,2.977,4.14
15,1.341,1.753,2.131,2.602,2.947,4.073
16,1.337,1.746,2.12,2.583,2.921,4.015
17,1.333,1.74,2.11,2.567,2.898,3.965
18,1.33,1.734,2.101,2.552,2.878,3.922
19,1.328,1.729,2.093,2.539,2.861,3.883
20,1.325,1.725,2.086,2.528,2.845,3.85
21,1.323,1.721,2.08,2.518,2.831,3.819
22,1.321,1.717,2.074,2.508,2.819,3.792
23,1.319,1.714,2.069,2.5,2.807,3.768
24,1.318,1.711,2.064,2.492,2.797,3.745
25,1.316,1.708,2.06,2.485,2.787,3.725
26,1.315,1.706,2.056,2.479,2.779,3.707
27,1.314,1.703,2.052,2.473,2.771,3.69
28,1.313,1.701,2.048,2.467,2.763,3.674
29,1.311,1.699,2.045,2.462,2.756,3.659
30,1.31,1.697,2.042,2.457,2.75,3.646
35,1.306,1.69,2.03,2.438,2.724,3.591
40,1.303,1.684,2.021,2.423,2.704,3.551
45,1.301,1.679,2.014,2.412,2.69,3.52
50,1.299,1.676,2.009,2.403,2.678,3.496
55,1.297,1.673,2.004,2.396,2.668,3.476
60,1.296,1.671,2,2.39,2.66,3.46
70,1.294,1.667,1.994,2.381,2.648,3.435
80,1.292,1.664,1.99,2.374,2.639,3.416
90,1.291,1.662,1.987,2.368,2.632,3.402
120,1.289,1.658,1.98,2.358,2.617,3.373
1e+05,1.282,1.645,1.96,2.326,2.576,3.291
