"df","Alpha10","Alpha05","Alpha01","Alpha001"
1,2.71,3.84,6.63,10.83
2,4.61,5.99,9.21,13.82
3,6.25,7.81,11.34,16.27
4,7.78,9.49,13.28,18.47
5,9.24,11.07,15.09,20.52
6,10.64,12.59,16.81,22.46
7,12.02,14.07,18.48,24.32
8,13.36,15.51,20.09,26.12
9,14.68,16.92,21.67,27.88
10,15.99,18.31,23.21,29.59
11,17.28,19.68,24.72,31.26
12,18.55,21.03,26.22,32.91
13,19.81,22.36,27.69,34.53
14,21.06,23.68,29.14,36.12
15,22.31,25,30.58,37.7
16,23.54,26.3,32,39.25
17,24.77,27.59,33.41,40.79
18,25.99,28.87,34.81,42.31
19,27.2,30.14,36.19,43.82
20,28.41,31.41,37.57,45.31
21,29.62,32.67,38.93,46.8
22,30.81,33.92,40.29,48.27
23,32.01,35.17,41.64,49.73
24,33.2,36.42,42.98,51.18
25,34.38,37.65,44.31,52.62
26,35.56,38.89,45.64,54.05
27,36.74,40.11,46.96,55.48
28,37.92,41.34,48.28,56.89
29,39.09,42.56,49.59,58.3
30,40.26,43.77,50.89,59.7
40,51.81,55.76,63.69,73.4
50,63.17,67.5,76.15,86.66
60,74.4,79.08,88.38,99.61
70,85.53,90.53,100.43,112.32
